timestamp,time_s,T_CPU,T_CASE,T_AMBIENT,noise,pwm,rpm,mode,raw_line
2026-05-13T12:36:49,2.05,33.88,31.81,25.56,28.2,0.0,,FUZZY,"33.88,31.81,25.56,28.20,0.00,FUZZY"
2026-05-13T12:36:50,3.41,33.94,31.81,25.62,40.08,7.51,,FUZZY,"33.94,31.81,25.62,40.08,7.51,FUZZY"
2026-05-13T12:36:52,4.82,33.94,31.75,25.56,43.03,13.22,,FUZZY,"33.94,31.75,25.56,43.03,13.22,FUZZY"
2026-05-13T12:36:53,6.25,33.94,31.75,25.62,48.41,19.29,,FUZZY,"33.94,31.75,25.62,48.41,19.29,FUZZY"
2026-05-13T12:36:54,7.66,34.0,31.75,25.56,55.97,14.47,,FUZZY,"34.00,31.75,25.56,55.97,14.47,FUZZY"
2026-05-13T12:36:56,9.09,34.0,31.69,25.62,48.79,20.02,,FUZZY,"34.00,31.69,25.62,48.79,20.02,FUZZY"
2026-05-13T12:36:57,10.5,34.0,31.69,25.56,53.71,15.02,,FUZZY,"34.00,31.69,25.56,53.71,15.02,FUZZY"
2026-05-13T12:36:59,11.92,34.06,31.69,25.56,55.09,11.26,,FUZZY,"34.06,31.69,25.56,55.09,11.26,FUZZY"
2026-05-13T12:37:00,13.34,34.13,31.69,25.56,49.63,16.23,,FUZZY,"34.13,31.69,25.56,49.63,16.23,FUZZY"
2026-05-13T12:37:02,14.76,34.13,31.62,25.56,43.85,21.13,,FUZZY,"34.13,31.62,25.56,43.85,21.13,FUZZY"
2026-05-13T12:37:03,16.19,34.13,31.62,25.56,49.94,23.48,,FUZZY,"34.13,31.62,25.56,49.94,23.48,FUZZY"
2026-05-13T12:37:04,17.61,34.19,31.62,25.62,48.18,27.27,,FUZZY,"34.19,31.62,25.62,48.18,27.27,FUZZY"
2026-05-13T12:37:06,19.04,34.19,31.62,25.56,48.07,30.23,,FUZZY,"34.19,31.62,25.56,48.07,30.23,FUZZY"
2026-05-13T12:37:07,20.45,34.19,31.62,25.62,50.43,31.17,,FUZZY,"34.19,31.62,25.62,50.43,31.17,FUZZY"
2026-05-13T12:37:09,21.87,34.25,31.56,25.56,56.17,23.38,,FUZZY,"34.25,31.56,25.56,56.17,23.38,FUZZY"
2026-05-13T12:37:10,23.28,34.31,31.56,25.56,52.47,25.06,,FUZZY,"34.31,31.56,25.56,52.47,25.06,FUZZY"
2026-05-13T12:37:11,24.7,34.31,31.56,25.56,54.59,26.32,,FUZZY,"34.31,31.56,25.56,54.59,26.32,FUZZY"
2026-05-13T12:37:13,26.11,34.31,31.56,25.56,53.03,27.27,,FUZZY,"34.31,31.56,25.56,53.03,27.27,FUZZY"
2026-05-13T12:37:14,27.52,34.31,31.5,25.56,52.41,27.97,,FUZZY,"34.31,31.50,25.56,52.41,27.97,FUZZY"
2026-05-13T12:37:16,28.94,34.38,31.5,25.56,54.57,28.7,,FUZZY,"34.38,31.50,25.56,54.57,28.70,FUZZY"
2026-05-13T12:37:17,30.35,34.38,31.5,25.56,51.83,29.25,,FUZZY,"34.38,31.50,25.56,51.83,29.25,FUZZY"
2026-05-13T12:37:19,31.77,34.38,31.5,25.56,42.33,32.12,,FUZZY,"34.38,31.50,25.56,42.33,32.12,FUZZY"
2026-05-13T12:37:20,33.19,34.44,31.44,25.56,47.53,34.75,,FUZZY,"34.44,31.44,25.56,47.53,34.75,FUZZY"
2026-05-13T12:37:21,34.61,34.44,31.44,25.56,51.41,33.98,,FUZZY,"34.44,31.44,25.56,51.41,33.98,FUZZY"
2026-05-13T12:37:23,36.02,34.44,31.44,25.56,44.57,36.03,,FUZZY,"34.44,31.44,25.56,44.57,36.03,FUZZY"
2026-05-13T12:37:24,37.43,34.5,31.44,25.56,50.23,35.13,,FUZZY,"34.50,31.44,25.56,50.23,35.13,FUZZY"
2026-05-13T12:37:26,38.85,34.5,31.44,25.56,44.69,37.23,,FUZZY,"34.50,31.44,25.56,44.69,37.23,FUZZY"
2026-05-13T12:37:27,40.26,34.5,31.44,25.56,53.88,36.03,,FUZZY,"34.50,31.44,25.56,53.88,36.03,FUZZY"
2026-05-13T12:37:28,41.68,34.5,31.37,25.56,53.95,35.12,,FUZZY,"34.50,31.37,25.56,53.95,35.12,FUZZY"
2026-05-13T12:37:30,43.09,34.56,31.37,25.56,53.98,34.63,,FUZZY,"34.56,31.37,25.56,53.98,34.63,FUZZY"
2026-05-13T12:37:31,44.5,34.56,31.37,25.56,50.39,34.27,,FUZZY,"34.56,31.37,25.56,50.39,34.27,FUZZY"
2026-05-13T12:37:33,45.92,34.63,31.37,25.56,51.96,34.18,,FUZZY,"34.63,31.37,25.56,51.96,34.18,FUZZY"
2026-05-13T12:37:34,47.33,34.63,31.37,25.56,52.58,34.11,,FUZZY,"34.63,31.37,25.56,52.58,34.11,FUZZY"
2026-05-13T12:37:36,48.75,34.63,31.37,25.56,40.83,37.15,,FUZZY,"34.63,31.37,25.56,40.83,37.15,FUZZY"
