timestamp,time_s,T_CPU,T_CASE,T_AMBIENT,amplitude,noise
2026-05-11T14:14:28,1.94,34.69,25.62,25.31,318.0,56.0
2026-05-11T14:14:29,3.19,34.69,25.62,25.31,287.0,49.0
2026-05-11T14:14:31,4.44,34.69,25.62,25.31,311.0,55.0
2026-05-11T14:14:32,5.69,34.69,25.62,25.31,329.0,59.0
2026-05-11T14:14:33,6.95,34.69,25.62,25.31,298.0,51.0
2026-05-11T14:14:34,8.2,34.69,25.62,25.31,311.0,55.0
2026-05-11T14:14:36,9.45,34.63,25.69,25.31,316.0,56.0
2026-05-11T14:14:37,10.7,34.63,25.62,25.31,325.0,58.0
2026-05-11T14:14:38,11.95,34.63,25.69,25.31,281.0,47.0
2026-05-11T14:14:39,13.2,34.63,25.69,25.31,303.0,53.0
2026-05-11T14:14:41,14.46,34.63,25.69,25.31,334.0,60.0
2026-05-11T14:14:42,15.71,34.63,25.69,25.31,299.0,52.0
2026-05-11T14:14:43,16.96,34.63,25.69,25.31,335.0,60.0
2026-05-11T14:14:44,18.21,34.63,25.69,25.31,318.0,56.0
2026-05-11T14:14:46,19.46,34.63,25.69,25.31,307.0,54.0
2026-05-11T14:14:47,20.71,34.63,25.69,25.31,344.0,62.0
2026-05-11T14:14:48,21.97,34.63,25.69,25.31,307.0,54.0
2026-05-11T14:14:49,23.22,34.63,25.75,25.31,280.0,47.0
2026-05-11T14:14:51,24.47,34.63,25.69,25.31,300.0,52.0
2026-05-11T14:14:52,25.72,34.63,25.69,25.31,291.0,50.0
2026-05-11T14:14:53,26.97,34.63,25.69,25.31,300.0,52.0
2026-05-11T14:14:54,28.22,34.56,25.75,25.31,301.0,52.0
2026-05-11T14:14:56,29.48,34.56,25.75,25.31,309.0,54.0
2026-05-11T14:14:57,30.73,34.56,25.75,25.31,313.0,55.0
2026-05-11T14:14:58,31.98,34.56,25.75,25.31,324.0,58.0
2026-05-11T14:14:59,33.23,34.5,25.75,25.31,299.0,52.0
2026-05-11T14:15:01,34.48,34.5,25.75,25.31,315.0,55.0
2026-05-11T14:15:02,35.73,34.5,25.75,25.31,313.0,55.0
2026-05-11T14:15:03,36.99,34.5,25.75,25.31,314.0,55.0
2026-05-11T14:15:04,38.24,34.5,25.75,25.31,290.0,50.0
2026-05-11T14:15:06,39.49,34.5,25.75,25.31,317.0,56.0
2026-05-11T14:15:07,40.74,34.5,25.75,25.31,324.0,58.0
2026-05-11T14:15:08,41.99,34.56,25.75,25.31,270.0,45.0
2026-05-11T14:15:09,43.25,34.5,25.75,25.31,299.0,52.0
2026-05-11T14:15:11,44.5,34.5,25.75,25.31,300.0,52.0
2026-05-11T14:15:12,45.75,34.5,25.75,25.31,302.0,52.0
2026-05-11T14:15:13,47.0,34.5,25.75,25.31,294.0,50.0
2026-05-11T14:15:14,48.25,34.5,25.81,25.31,292.0,50.0
2026-05-11T14:15:16,49.5,34.5,25.81,25.31,299.0,52.0
2026-05-11T14:15:17,50.76,34.5,25.75,25.31,318.0,56.0
2026-05-11T14:15:18,52.01,34.5,25.81,25.31,301.0,52.0
2026-05-11T14:15:19,53.26,34.5,25.81,25.31,327.0,58.0
2026-05-11T14:15:21,54.51,34.5,25.81,25.31,330.0,59.0
2026-05-11T14:15:22,55.76,34.44,25.81,25.31,294.0,50.0
2026-05-11T14:15:23,57.01,34.5,25.81,25.31,317.0,56.0
2026-05-11T14:15:24,58.27,34.5,25.81,25.31,297.0,51.0
2026-05-11T14:15:26,59.52,34.5,25.81,25.31,310.0,54.0
2026-05-11T14:15:27,60.77,34.44,25.81,25.31,302.0,52.0
2026-05-11T14:15:28,62.02,34.44,25.81,25.31,290.0,50.0
2026-05-11T14:15:29,63.27,34.44,25.81,25.31,308.0,54.0
2026-05-11T14:15:31,64.53,34.44,25.81,25.31,313.0,55.0
2026-05-11T14:15:32,65.78,34.44,25.81,25.31,311.0,55.0
2026-05-11T14:15:33,67.03,34.44,25.81,25.31,280.0,47.0
2026-05-11T14:15:34,68.28,34.5,25.81,25.31,285.0,48.0
2026-05-11T14:15:36,69.53,34.5,25.81,25.31,299.0,52.0
2026-05-11T14:15:37,70.78,34.5,25.87,25.31,296.0,51.0
2026-05-11T14:15:38,72.04,34.5,25.87,25.31,270.0,45.0
2026-05-11T14:15:39,73.29,34.5,25.87,25.31,291.0,50.0
2026-05-11T14:15:41,74.54,34.5,25.87,25.31,314.0,55.0
2026-05-11T14:15:42,75.79,34.56,25.87,25.31,292.0,50.0
2026-05-11T14:15:43,77.04,34.63,25.87,25.31,303.0,53.0
2026-05-11T14:15:44,78.3,34.63,25.87,25.31,304.0,53.0
2026-05-11T14:15:46,79.55,34.63,25.87,25.31,264.0,43.0
2026-05-11T14:15:47,80.8,34.69,25.87,25.31,329.0,59.0
2026-05-11T14:15:48,82.05,34.69,25.87,25.31,262.0,43.0
2026-05-11T14:15:49,83.3,34.75,25.87,25.31,332.0,60.0
2026-05-11T14:15:51,84.55,34.81,25.87,25.31,291.0,50.0
2026-05-11T14:15:52,85.81,34.81,25.87,25.31,322.0,57.0
2026-05-11T14:15:53,87.06,34.88,25.94,25.31,321.0,57.0
2026-05-11T14:15:54,88.31,34.94,25.87,25.31,316.0,56.0
2026-05-11T14:15:56,89.56,34.94,25.87,25.31,310.0,54.0
2026-05-11T14:15:57,90.81,35.0,25.87,25.31,274.0,46.0
2026-05-11T14:15:58,92.06,35.06,25.87,25.31,307.0,54.0
2026-05-11T14:15:59,93.32,35.06,25.87,25.31,206.0,30.0
2026-05-11T14:16:01,94.57,35.19,25.94,25.31,308.0,54.0
2026-05-11T14:16:02,95.82,35.19,25.94,25.31,327.0,58.0
2026-05-11T14:16:03,97.07,35.25,25.94,25.31,329.0,59.0
2026-05-11T14:16:04,98.32,35.25,25.94,25.31,293.0,50.0
2026-05-11T14:16:06,99.57,35.38,25.94,25.31,314.0,55.0
2026-05-11T14:16:07,100.83,35.38,25.94,25.31,317.0,56.0
2026-05-11T14:16:08,102.08,35.44,25.94,25.31,309.0,54.0
2026-05-11T14:16:09,103.33,35.5,25.94,25.31,303.0,53.0
2026-05-11T14:16:11,104.58,35.5,25.94,25.31,287.0,49.0
2026-05-11T14:16:12,105.83,35.63,25.94,25.31,316.0,56.0
2026-05-11T14:16:13,107.09,35.63,25.94,25.31,310.0,54.0
2026-05-11T14:16:14,108.34,35.69,25.94,25.31,338.0,61.0
2026-05-11T14:16:16,109.59,35.75,25.94,25.31,306.0,53.0
2026-05-11T14:16:17,110.84,35.81,25.94,25.31,319.0,56.0
2026-05-11T14:16:18,112.09,35.88,26.0,25.31,335.0,60.0
2026-05-11T14:16:19,113.34,35.88,25.94,25.31,331.0,59.0
2026-05-11T14:16:21,114.6,35.94,25.94,25.31,333.0,60.0
2026-05-11T14:16:22,115.85,36.0,26.0,25.31,302.0,52.0
2026-05-11T14:16:23,117.1,36.06,26.0,25.31,321.0,57.0
2026-05-11T14:16:24,118.35,36.13,26.0,25.31,324.0,58.0
2026-05-11T14:16:26,119.6,36.19,26.0,25.31,294.0,50.0
2026-05-11T14:16:27,120.85,36.19,26.0,25.31,301.0,52.0
2026-05-11T14:16:28,122.11,36.31,26.0,25.31,264.0,43.0
2026-05-11T14:16:30,123.36,36.31,26.0,25.31,306.0,53.0
2026-05-11T14:16:31,124.61,36.38,26.0,25.31,307.0,54.0
2026-05-11T14:16:32,125.86,36.44,26.0,25.31,330.0,59.0
2026-05-11T14:16:33,127.11,36.5,26.0,25.31,327.0,58.0
2026-05-11T14:16:35,128.36,36.5,26.0,25.31,329.0,59.0
2026-05-11T14:16:36,129.62,36.56,26.0,25.31,322.0,57.0
2026-05-11T14:16:37,130.87,36.63,26.0,25.31,296.0,51.0
2026-05-11T14:16:38,132.12,36.63,26.0,25.25,313.0,55.0
2026-05-11T14:16:40,133.37,36.69,26.0,25.31,301.0,52.0
2026-05-11T14:16:41,134.62,36.69,26.06,25.31,310.0,54.0
2026-05-11T14:16:42,135.88,36.75,26.06,25.31,321.0,57.0
2026-05-11T14:16:43,137.13,36.75,26.0,25.31,324.0,58.0
2026-05-11T14:16:45,138.38,36.81,26.0,25.31,329.0,59.0
2026-05-11T14:16:46,139.63,36.81,26.06,25.31,333.0,60.0
2026-05-11T14:16:47,140.88,36.81,26.06,25.31,324.0,58.0
2026-05-11T14:16:48,142.13,36.81,26.06,25.31,314.0,55.0
2026-05-11T14:16:50,143.39,36.88,26.06,25.31,300.0,52.0
2026-05-11T14:16:51,144.64,36.88,26.06,25.31,341.0,62.0
2026-05-11T14:16:52,145.89,36.88,26.06,25.31,337.0,61.0
2026-05-11T14:16:53,147.14,36.88,26.06,25.31,326.0,58.0
2026-05-11T14:16:55,148.39,36.88,26.06,25.31,326.0,58.0
2026-05-11T14:16:56,149.64,36.88,26.06,25.31,298.0,51.0
2026-05-11T14:16:57,150.9,36.88,26.06,25.31,302.0,52.0
2026-05-11T14:16:58,152.15,36.94,26.06,25.31,312.0,55.0
2026-05-11T14:17:00,153.4,36.88,26.06,25.31,308.0,54.0
2026-05-11T14:17:01,154.65,36.88,26.06,25.31,307.0,54.0
2026-05-11T14:17:02,155.9,36.88,26.06,25.31,306.0,53.0
2026-05-11T14:17:03,157.16,36.94,26.12,25.31,327.0,58.0
2026-05-11T14:17:05,158.41,36.88,26.06,25.31,303.0,53.0
2026-05-11T14:17:06,159.66,36.88,26.12,25.31,309.0,54.0
2026-05-11T14:17:07,160.91,36.94,26.12,25.31,326.0,58.0
2026-05-11T14:17:08,162.16,36.94,26.12,25.31,300.0,52.0
2026-05-11T14:17:10,163.41,36.88,26.12,25.31,317.0,56.0
2026-05-11T14:17:11,164.66,36.88,26.12,25.31,302.0,52.0
2026-05-11T14:17:12,165.92,36.88,26.12,25.31,312.0,55.0
2026-05-11T14:17:13,167.17,36.88,26.12,25.31,314.0,55.0
2026-05-11T14:17:15,168.42,36.88,26.12,25.31,307.0,54.0
2026-05-11T14:17:16,169.67,36.88,26.12,25.31,324.0,58.0
2026-05-11T14:17:17,170.92,36.88,26.12,25.31,318.0,56.0
2026-05-11T14:17:18,172.18,36.88,26.12,25.31,293.0,50.0
2026-05-11T14:17:20,173.43,36.88,26.12,25.31,313.0,55.0
2026-05-11T14:17:21,174.68,36.88,26.12,25.31,324.0,58.0
2026-05-11T14:17:22,175.93,36.88,26.12,25.31,315.0,55.0
2026-05-11T14:17:23,177.18,36.88,26.12,25.31,309.0,54.0
2026-05-11T14:17:25,178.44,36.81,26.12,25.31,305.0,53.0
2026-05-11T14:17:26,179.69,36.88,26.12,25.31,302.0,52.0
2026-05-11T14:17:27,180.94,36.81,26.12,25.31,296.0,51.0
2026-05-11T14:17:28,182.19,36.81,26.12,25.31,329.0,59.0
2026-05-11T14:17:30,183.44,36.81,26.12,25.31,259.0,42.0
2026-05-11T14:17:31,184.69,36.81,26.12,25.31,335.0,60.0
2026-05-11T14:17:32,185.95,36.81,26.19,25.31,264.0,43.0
2026-05-11T14:17:33,187.2,36.75,26.19,25.31,323.0,57.0
2026-05-11T14:17:35,188.45,36.75,26.12,25.31,289.0,49.0
2026-05-11T14:17:36,189.7,36.81,26.19,25.31,319.0,56.0
2026-05-11T14:17:37,190.95,36.75,26.19,25.31,321.0,57.0
2026-05-11T14:17:38,192.2,36.75,26.19,25.31,303.0,53.0
2026-05-11T14:17:40,193.46,36.75,26.19,25.31,301.0,52.0
2026-05-11T14:17:41,194.71,36.75,26.19,25.31,324.0,58.0
2026-05-11T14:17:42,195.96,36.75,26.19,25.31,305.0,53.0
2026-05-11T14:17:43,197.21,36.69,26.19,25.31,287.0,49.0
2026-05-11T14:17:45,198.46,36.69,26.19,25.31,301.0,52.0
2026-05-11T14:17:46,199.71,36.69,26.19,25.31,282.0,48.0
2026-05-11T14:17:47,200.97,36.69,26.19,25.31,327.0,58.0
2026-05-11T14:17:48,202.22,36.63,26.19,25.31,293.0,50.0
2026-05-11T14:17:50,203.47,36.69,26.19,25.31,308.0,54.0
2026-05-11T14:17:51,204.72,36.69,26.25,25.37,310.0,54.0
2026-05-11T14:17:52,205.97,36.63,26.19,25.31,322.0,57.0
2026-05-11T14:17:53,207.22,36.63,26.25,25.31,296.0,51.0
2026-05-11T14:17:55,208.48,36.63,26.19,25.31,334.0,60.0
2026-05-11T14:17:56,209.73,36.63,26.19,25.31,301.0,52.0
2026-05-11T14:17:57,210.98,36.63,26.19,25.31,312.0,55.0
2026-05-11T14:17:58,212.23,36.56,26.25,25.37,316.0,56.0
2026-05-11T14:18:00,213.48,36.63,26.19,25.31,303.0,53.0
2026-05-11T14:18:01,214.74,36.63,26.19,25.31,300.0,52.0
2026-05-11T14:18:02,215.99,36.63,26.19,25.31,306.0,53.0
2026-05-11T14:18:03,217.24,36.5,26.25,25.31,297.0,51.0
2026-05-11T14:18:05,218.49,36.56,26.25,25.31,317.0,56.0
2026-05-11T14:18:06,219.74,36.5,26.25,25.37,286.0,49.0
2026-05-11T14:18:07,220.99,36.5,26.25,25.31,315.0,55.0
2026-05-11T14:18:08,222.25,36.5,26.25,25.31,335.0,60.0
2026-05-11T14:18:10,223.5,36.5,26.25,25.31,227.0,35.0
2026-05-11T14:18:11,224.75,36.44,26.25,25.31,297.0,51.0
2026-05-11T14:18:12,226.0,36.5,26.25,25.31,307.0,54.0
2026-05-11T14:18:13,227.25,36.44,26.25,25.37,341.0,62.0
2026-05-11T14:18:15,228.5,36.44,26.25,25.31,323.0,57.0
2026-05-11T14:18:16,229.76,36.44,26.25,25.37,322.0,57.0
2026-05-11T14:18:17,231.01,36.44,26.25,25.31,306.0,53.0
2026-05-11T14:18:18,232.26,36.38,26.25,25.37,302.0,52.0
2026-05-11T14:18:20,233.51,36.38,26.25,25.31,344.0,62.0
2026-05-11T14:18:21,234.76,36.38,26.31,25.31,305.0,53.0
2026-05-11T14:18:22,236.02,36.38,26.25,25.31,324.0,58.0
2026-05-11T14:18:23,237.27,36.38,26.31,25.31,303.0,53.0
2026-05-11T14:18:25,238.52,36.38,26.31,25.31,292.0,50.0
2026-05-11T14:18:26,239.77,36.31,26.31,25.37,323.0,57.0
2026-05-11T14:18:27,241.02,36.31,26.31,25.31,336.0,60.0
2026-05-11T14:18:28,242.27,36.31,26.31,25.31,302.0,52.0
2026-05-11T14:18:30,243.53,36.31,26.31,25.31,293.0,50.0
2026-05-11T14:18:31,244.78,36.31,26.31,25.37,294.0,50.0
2026-05-11T14:18:32,246.03,36.31,26.31,25.31,302.0,52.0
2026-05-11T14:18:33,247.28,36.25,26.31,25.37,304.0,53.0
2026-05-11T14:18:35,248.53,36.31,26.31,25.37,337.0,61.0
2026-05-11T14:18:36,249.78,36.25,26.31,25.37,297.0,51.0
2026-05-11T14:18:37,251.04,36.31,26.31,25.31,243.0,38.0
2026-05-11T14:18:38,252.29,36.31,26.31,25.31,329.0,59.0
2026-05-11T14:18:40,253.54,36.31,26.31,25.37,325.0,58.0
2026-05-11T14:18:41,254.79,36.31,26.31,25.31,317.0,56.0
2026-05-11T14:18:42,256.04,36.31,26.31,25.31,291.0,50.0
2026-05-11T14:18:43,257.3,36.38,26.37,25.31,288.0,49.0
2026-05-11T14:18:45,258.55,36.38,26.37,25.31,284.0,48.0
2026-05-11T14:18:46,259.8,36.38,26.37,25.31,335.0,60.0
2026-05-11T14:18:47,261.05,36.44,26.37,25.31,345.0,63.0
2026-05-11T14:18:48,262.3,36.44,26.37,25.31,343.0,62.0
2026-05-11T14:18:50,263.55,36.5,26.37,25.31,298.0,51.0
2026-05-11T14:18:51,264.81,36.5,26.37,25.37,292.0,50.0
2026-05-11T14:18:52,266.06,36.56,26.37,25.31,307.0,54.0
2026-05-11T14:18:53,267.31,36.56,26.37,25.37,280.0,47.0
2026-05-11T14:18:55,268.56,36.63,26.37,25.37,327.0,58.0
2026-05-11T14:18:56,269.81,36.69,26.37,25.37,310.0,54.0
2026-05-11T14:18:57,271.06,36.69,26.37,25.37,297.0,51.0
2026-05-11T14:18:58,272.32,36.75,26.37,25.31,311.0,55.0
2026-05-11T14:19:00,273.57,36.81,26.37,25.31,288.0,49.0
2026-05-11T14:19:01,274.82,36.81,26.37,25.37,323.0,57.0
2026-05-11T14:19:02,276.07,36.88,26.37,25.31,317.0,56.0
2026-05-11T14:19:03,277.32,36.88,26.37,25.31,312.0,55.0
2026-05-11T14:19:05,278.57,36.94,26.44,25.31,259.0,42.0
2026-05-11T14:19:06,279.83,37.0,26.37,25.37,314.0,55.0
2026-05-11T14:19:07,281.08,37.0,26.44,25.31,301.0,52.0
2026-05-11T14:19:08,282.33,37.13,26.44,25.31,303.0,53.0
2026-05-11T14:19:10,283.58,37.13,26.44,25.37,319.0,56.0
2026-05-11T14:19:11,284.83,37.19,26.44,25.31,315.0,55.0
2026-05-11T14:19:12,286.09,37.19,26.44,25.37,238.0,37.0
2026-05-11T14:19:13,287.34,37.25,26.44,25.31,273.0,45.0
2026-05-11T14:19:15,288.59,37.25,26.44,25.37,279.0,47.0
2026-05-11T14:19:16,289.84,37.31,26.44,25.37,322.0,57.0
2026-05-11T14:19:17,291.09,37.38,26.44,25.37,318.0,56.0
2026-05-11T14:19:18,292.34,37.44,26.44,25.37,308.0,54.0
2026-05-11T14:19:20,293.6,37.44,26.44,25.31,328.0,59.0
2026-05-11T14:19:21,294.85,37.5,26.44,25.31,300.0,52.0
2026-05-11T14:19:22,296.1,37.56,26.44,25.37,306.0,53.0
2026-05-11T14:19:23,297.35,37.63,26.44,25.37,318.0,56.0
2026-05-11T14:19:25,298.6,37.63,26.44,25.37,336.0,60.0
2026-05-11T14:19:26,299.86,37.69,26.44,25.37,333.0,60.0
2026-05-11T14:19:27,301.11,37.75,26.44,25.37,305.0,53.0
2026-05-11T14:19:29,302.36,37.81,26.5,25.37,317.0,56.0
2026-05-11T14:19:30,303.61,37.88,26.44,25.37,281.0,47.0
2026-05-11T14:19:31,304.86,37.88,26.5,25.37,298.0,51.0
2026-05-11T14:19:32,306.11,37.94,26.5,25.37,316.0,56.0
2026-05-11T14:19:34,307.36,38.0,26.5,25.37,342.0,62.0
2026-05-11T14:19:35,308.62,38.06,26.5,25.37,303.0,53.0
2026-05-11T14:19:36,309.87,38.06,26.5,25.37,334.0,60.0
2026-05-11T14:19:37,311.12,38.13,26.5,25.37,295.0,51.0
2026-05-11T14:19:39,312.37,38.19,26.5,25.37,310.0,54.0
2026-05-11T14:19:40,313.62,38.25,26.5,25.37,273.0,45.0
2026-05-11T14:19:41,314.88,38.25,26.5,25.37,322.0,57.0
2026-05-11T14:19:42,316.13,38.31,26.5,25.37,290.0,50.0
2026-05-11T14:19:44,317.38,38.38,26.5,25.31,327.0,58.0
2026-05-11T14:19:45,318.63,38.44,26.5,25.37,338.0,61.0
2026-05-11T14:19:46,319.88,38.5,26.5,25.37,248.0,40.0
2026-05-11T14:19:47,321.13,38.5,26.5,25.37,313.0,55.0
2026-05-11T14:19:49,322.39,38.56,26.56,25.37,328.0,59.0
2026-05-11T14:19:50,323.64,38.63,26.5,25.37,279.0,47.0
2026-05-11T14:19:51,324.89,38.69,26.56,25.37,335.0,60.0
2026-05-11T14:19:52,326.14,38.69,26.56,25.37,331.0,59.0
2026-05-11T14:19:54,327.39,38.75,26.56,25.31,308.0,54.0
2026-05-11T14:19:55,328.65,38.81,26.5,25.37,306.0,53.0
2026-05-11T14:19:56,329.9,38.88,26.56,25.37,301.0,52.0
