timestamp,time_s,T_CPU,T_CASE,T_AMBIENT,noise,pwm,rpm,mode,raw_line
2026-05-13T13:54:42,2.05,34.75,32.44,26.25,36.6,11.75,,FUZZY,"34.75,32.44,26.25,36.60,11.75,FUZZY"
2026-05-13T13:54:43,3.46,34.81,32.44,26.25,36.84,20.86,,FUZZY,"34.81,32.44,26.25,36.84,20.86,FUZZY"
2026-05-13T13:54:45,4.88,34.81,32.44,26.25,41.14,27.69,,FUZZY,"34.81,32.44,26.25,41.14,27.69,FUZZY"
2026-05-13T13:54:46,6.3,34.81,32.44,26.25,48.25,31.48,,FUZZY,"34.81,32.44,26.25,48.25,31.48,FUZZY"
2026-05-13T13:54:47,7.72,34.88,32.38,26.19,55.3,35.75,,FUZZY,"34.88,32.38,26.19,55.30,35.75,FUZZY"
2026-05-13T13:54:49,9.25,34.88,32.38,26.25,52.12,26.81,,TARGET_36,"34.88,32.38,26.25,52.12,26.81,TARGET_36"
2026-05-13T13:54:50,10.54,34.88,32.31,26.25,44.25,20.11,,TARGET_36,"34.88,32.31,26.25,44.25,20.11,TARGET_36"
2026-05-13T13:54:51,11.82,34.88,32.38,26.25,39.3,15.08,,TARGET_36,"34.88,32.38,26.25,39.30,15.08,TARGET_36"
2026-05-13T13:54:53,13.11,34.94,32.31,26.19,45.12,11.31,,TARGET_36,"34.94,32.31,26.19,45.12,11.31,TARGET_36"
2026-05-13T13:54:54,14.4,34.94,32.31,26.25,36.65,8.48,,TARGET_36,"34.94,32.31,26.25,36.65,8.48,TARGET_36"
2026-05-13T13:54:55,15.68,34.94,32.31,26.25,37.46,6.36,,TARGET_36,"34.94,32.31,26.25,37.46,6.36,TARGET_36"
2026-05-13T13:54:57,16.97,35.0,32.31,26.25,38.98,4.77,,TARGET_36,"35.00,32.31,26.25,38.98,4.77,TARGET_36"
2026-05-13T13:54:58,18.25,35.0,32.31,26.25,32.99,3.58,,TARGET_36,"35.00,32.31,26.25,32.99,3.58,TARGET_36"
